State,County,City,Site Num,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
District Of Columbia,District of Columbia,Washington,41,2000-01-01,26.541667,0.004167,11.2375,2.0338814999999997
District Of Columbia,District of Columbia,Washington,41,2000-01-02,14.958333,0.023083,7.7770835,0.770833
District Of Columbia,District of Columbia,Washington,41,2000-01-03,18.291667,0.014875,7.1161495,0.5833335
District Of Columbia,District of Columbia,Washington,41,2000-01-04,13.363636,0.01725,5.4020835,0.5083335
District Of Columbia,District of Columbia,Washington,41,2000-01-05,16.625,0.009583,8.3625,0.6166665
District Of Columbia,District of Columbia,Washington,41,2000-01-06,26.333333,0.003542,8.2770835,1.6854165
District Of Columbia,District of Columbia,Washington,41,2000-01-07,26.625,0.006042,9.9020835,1.547917
District Of Columbia,District of Columbia,Washington,41,2000-01-08,26.541667,0.00475,15.1520835,0.95625
District Of Columbia,District of Columbia,Washington,41,2000-01-09,24.208333,0.004538,10.5270835,0.9979165
District Of Columbia,District of Columbia,Washington,41,2000-01-10,21.458333,0.002667,7.1295455,1.2847825
District Of Columbia,District of Columbia,Washington,41,2000-01-11,19.090909,0.012708,7.9479165,0.7375
District Of Columbia,District of Columbia,Washington,41,2000-01-12,22.875,0.008792,9.0666665,1.1354164999999998
District Of Columbia,District of Columbia,Washington,41,2000-01-13,20.458333,0.014542,13.11875,1.1229165
District Of Columbia,District of Columbia,Washington,41,2000-01-14,14.541667,0.019542,8.6125,0.6958335
District Of Columbia,District of Columbia,Washington,41,2000-01-15,22.333333,0.010833,18.0666665,0.88125
District Of Columbia,District of Columbia,Washington,41,2000-01-16,15.25,0.020125,11.5208335,0.8500000000000001
District Of Columbia,District of Columbia,Washington,41,2000-01-17,10.166667,0.02675,4.6854165,0.825
District Of Columbia,District of Columbia,Washington,41,2000-01-18,27.5,0.007583,8.5940995,1.0
District Of Columbia,District of Columbia,Washington,41,2000-01-19,24.521739,0.004625,12.6916665,1.216667
District Of Columbia,District of Columbia,Washington,41,2000-01-20,18.916667,0.010958,9.9020835,0.95
District Of Columbia,District of Columbia,Washington,41,2000-01-21,16.041667,0.018083,11.6979165,0.741667
District Of Columbia,District of Columbia,Washington,41,2000-01-22,19.416667,0.0145,11.6916665,0.8729165
District Of Columbia,District of Columbia,Washington,41,2000-01-23,25.791667,0.00575,14.3166665,1.1
District Of Columbia,District of Columbia,Washington,41,2000-01-24,31.157895,0.006438,20.9600875,1.139638
District Of Columbia,District of Columbia,Washington,41,2000-01-25,16.458333,0.017167,12.0270835,0.6729165
District Of Columbia,District of Columbia,Washington,41,2000-01-26,18.916667,0.017833,15.2708335,0.7833335
District Of Columbia,District of Columbia,Washington,41,2000-01-27,17.5,0.021,11.98125,0.7041664999999999
District Of Columbia,District of Columbia,Washington,41,2000-01-28,22.291667,0.014292,15.0208335,0.8395835
District Of Columbia,District of Columbia,Washington,41,2000-01-29,34.0,0.008542,17.145833500000002,1.547917
District Of Columbia,District of Columbia,Washington,41,2000-01-30,46.375,0.003417,18.2770835,2.1
District Of Columbia,District of Columbia,Washington,41,2000-01-31,24.75,0.010125,14.5666665,1.258333
District Of Columbia,District of Columbia,Washington,41,2000-02-01,25.541667,0.014458,10.5686335,1.275
District Of Columbia,District of Columbia,Washington,41,2000-02-02,21.391304,0.015042,9.5666665,0.8583335
District Of Columbia,District of Columbia,Washington,41,2000-02-03,36.5,0.00425,13.9416665,2.1020835
District Of Columbia,District of Columbia,Washington,41,2000-02-04,33.166667,0.002583,15.0666665,1.6229165
District Of Columbia,District of Columbia,Washington,41,2000-02-05,19.541667,0.015667,12.060416499999999,1.0208335
District Of Columbia,District of Columbia,Washington,41,2000-02-06,16.791667,0.016792,10.23125,1.0875
District Of Columbia,District of Columbia,Washington,41,2000-02-07,21.541667,0.014042,11.283333500000001,1.1302535
District Of Columbia,District of Columbia,Washington,41,2000-02-08,22.772727,0.01125,7.1816770000000005,0.9125000000000001
District Of Columbia,District of Columbia,Washington,41,2000-02-09,27.083333,0.007208,12.8166665,1.7583335
District Of Columbia,District of Columbia,Washington,41,2000-02-10,49.8,0.008125,16.165217499999997,3.1937499999999996
District Of Columbia,District of Columbia,Washington,41,2000-02-11,35.25,0.012625,13.2770835,1.097917
District Of Columbia,District of Columbia,Washington,41,2000-02-13,4.25,0.007875,9.185416499999999,1.3479165
District Of Columbia,District of Columbia,Washington,41,2000-02-14,7.0,0.008792,8.971739,0.914674
District Of Columbia,District of Columbia,Washington,41,2000-02-15,13.5,0.012917,10.3229165,1.0791665
District Of Columbia,District of Columbia,Washington,41,2000-02-16,25.478261,0.015958,9.5208335,0.9729165
District Of Columbia,District of Columbia,Washington,41,2000-02-17,13.458333,0.020625,6.2708335,1.0
District Of Columbia,District of Columbia,Washington,41,2000-02-18,16.0,0.005792,6.4083335,1.1208334999999998
District Of Columbia,District of Columbia,Washington,41,2000-02-19,9.75,0.010458,9.3166665,1.075
District Of Columbia,District of Columbia,Washington,41,2000-02-20,6.708333,0.0225,7.73125,1.033333
District Of Columbia,District of Columbia,Washington,41,2000-02-21,12.75,0.014042,9.2770835,1.1895835
District Of Columbia,District of Columbia,Washington,41,2000-02-22,16.291667,0.014083,13.4329195,1.227174
District Of Columbia,District of Columbia,Washington,41,2000-02-23,22.958333,0.008292,10.5270835,1.28125
District Of Columbia,District of Columbia,Washington,41,2000-02-24,17.625,0.018083,10.560416499999999,1.7333335
District Of Columbia,District of Columbia,Washington,41,2000-02-25,18.208333,0.015042,15.23125,1.0916670000000002
District Of Columbia,District of Columbia,Washington,41,2000-02-26,9.25,0.012333,4.1979165,1.097917
District Of Columbia,District of Columbia,Washington,41,2000-02-27,7.416667,0.017292,5.4875,1.0354165
District Of Columbia,District of Columbia,Washington,41,2000-02-28,8.75,0.019667,6.7192545,0.980797
District Of Columbia,District of Columbia,Washington,41,2000-02-29,21.045455,0.01175,9.61875,1.250568
District Of Columbia,District of Columbia,Washington,41,2000-03-01,38.541667,0.010292,13.60625,2.1416665
District Of Columbia,District of Columbia,Washington,41,2000-03-02,15.541667,0.020208,6.0333335,0.8979165
District Of Columbia,District of Columbia,Washington,41,2000-03-03,20.681818,0.015708,8.7375,0.96875
District Of Columbia,District of Columbia,Washington,41,2000-03-04,29.916667,0.011625,6.6916665,1.2937500000000002
District Of Columbia,District of Columbia,Washington,41,2000-03-05,27.125,0.017417,8.0270835,1.3270835
District Of Columbia,District of Columbia,Washington,41,2000-03-06,30.375,0.011708,5.690683,1.458605
District Of Columbia,District of Columbia,Washington,41,2000-03-07,38.625,0.01425,9.5729165,1.8541665
District Of Columbia,District of Columbia,Washington,41,2000-03-08,42.541667,0.013792,10.6979165,1.639583
District Of Columbia,District of Columbia,Washington,41,2000-03-09,41.695652,0.019875,11.8625,1.8104164999999999
District Of Columbia,District of Columbia,Washington,41,2000-03-10,21.708333,0.016792,6.6916665,0.8458334999999999
District Of Columbia,District of Columbia,Washington,41,2000-03-11,23.833333,0.004625,4.1520835,1.1020835
District Of Columbia,District of Columbia,Washington,41,2000-03-12,14.125,0.017792,6.3625,0.9291665
District Of Columbia,District of Columbia,Washington,41,2000-03-13,21.375,0.018333,8.2645835,0.9270835
District Of Columbia,District of Columbia,Washington,41,2000-03-14,24.875,0.018333,7.7580745,0.9698370000000001
District Of Columbia,District of Columbia,Washington,41,2000-03-15,21.772727,0.029833,8.4875,0.7020835000000001
District Of Columbia,District of Columbia,Washington,41,2000-03-16,25.583333,0.017917,9.0666665,0.729167
District Of Columbia,District of Columbia,Washington,41,2000-03-17,13.625,0.023417,3.60625,0.7229165
District Of Columbia,District of Columbia,Washington,41,2000-03-18,18.0,0.022,5.9479165,0.93125
District Of Columbia,District of Columbia,Washington,41,2000-03-19,16.916667,0.02325,3.4875,0.9083330000000001
District Of Columbia,District of Columbia,Washington,41,2000-03-20,18.958333,0.019458,3.2593170000000002,0.859239
District Of Columbia,District of Columbia,Washington,41,2000-03-21,22.772727,0.005417,3.11875,0.8333335
District Of Columbia,District of Columbia,Washington,41,2000-03-22,25.809524,0.002917,3.2613635,1.2125
District Of Columbia,District of Columbia,Washington,41,2000-03-23,27.333333,0.005417,6.0333335,1.8270835
District Of Columbia,District of Columbia,Washington,41,2000-03-24,28.041667,0.014708,5.4416665,1.8291665
District Of Columbia,District of Columbia,Washington,41,2000-03-25,24.75,0.021375,6.0666665,1.36875
District Of Columbia,District of Columbia,Washington,41,2000-03-26,19.708333,0.023167,5.10625,1.5333335
District Of Columbia,District of Columbia,Washington,41,2000-03-27,34.041667,0.015833,4.9142855,1.9166664999999998
District Of Columbia,District of Columbia,Washington,41,2000-03-28,17.565217,0.020333,4.2375,0.80625
District Of Columbia,District of Columbia,Washington,41,2000-03-29,16.541667,0.015625,4.4479165,0.920833
District Of Columbia,District of Columbia,Washington,41,2000-03-30,30.833333,0.012125,6.6583335,1.8
District Of Columbia,District of Columbia,Washington,41,2000-03-31,29.375,0.013583,4.99375,1.3145835
District Of Columbia,District of Columbia,Washington,41,2000-04-01,31.875,0.021875,6.9354165,1.520833
District Of Columbia,District of Columbia,Washington,41,2000-04-02,12.125,0.034292,4.2375,0.9916665
District Of Columbia,District of Columbia,Washington,41,2000-04-03,16.333333,0.016708,4.8616885,0.8740945
District Of Columbia,District of Columbia,Washington,41,2000-04-04,16.956522,0.018667,5.0333335,0.7458335
District Of Columbia,District of Columbia,Washington,41,2000-04-05,18.041667,0.019167,5.7708335,0.864583
District Of Columbia,District of Columbia,Washington,41,2000-04-06,24.125,0.029667,6.7375,1.0541665
District Of Columbia,District of Columbia,Washington,41,2000-04-07,28.333333,0.028375,8.4541665,1.1541665
District Of Columbia,District of Columbia,Washington,41,2000-04-08,10.75,0.027292,3.74375,0.83125
District Of Columbia,District of Columbia,Washington,41,2000-04-09,9.0,0.025708,4.35625,0.6958329999999999
District Of Columbia,District of Columbia,Washington,41,2000-04-10,24.666667,0.0175,5.4248449999999995,0.9969205
District Of Columbia,District of Columbia,Washington,41,2000-04-11,32.956522,0.009667,6.9479165,1.0645829999999998
District Of Columbia,District of Columbia,Washington,41,2000-04-12,23.0,0.01675,5.85625,1.0645835
District Of Columbia,District of Columbia,Washington,41,2000-04-13,27.875,0.018,5.4479165,1.1479165
District Of Columbia,District of Columbia,Washington,41,2000-04-14,32.666667,0.015417,4.74375,1.3166665000000002
District Of Columbia,District of Columbia,Washington,41,2000-04-15,23.5,0.004667,3.9083335,1.3833335
District Of Columbia,District of Columbia,Washington,41,2000-04-16,19.75,0.01375,5.0791664999999995,1.35
District Of Columbia,District of Columbia,Washington,41,2000-04-17,19.208333,0.015417,3.183766,1.069475
District Of Columbia,District of Columbia,Washington,41,2000-04-18,24.521739,0.009875,3.0791665000000004,0.9791665
District Of Columbia,District of Columbia,Washington,41,2000-04-19,23.041667,0.011917,4.6916665,1.0395835
District Of Columbia,District of Columbia,Washington,41,2000-04-20,17.166667,0.022042,5.2770835,1.15625
District Of Columbia,District of Columbia,Washington,41,2000-04-21,21.541667,0.009958,3.6979165,1.2166665
District Of Columbia,District of Columbia,Washington,41,2000-04-22,13.375,0.011458,5.2375,1.0291665
District Of Columbia,District of Columbia,Washington,41,2000-04-23,12.083333,0.020458,3.7833335,0.891667
District Of Columbia,District of Columbia,Washington,41,2000-04-24,24.125,0.020375,4.582298,1.107065
District Of Columbia,District of Columbia,Washington,41,2000-04-25,33.318182,0.006542,6.4354165,1.3145835
District Of Columbia,District of Columbia,Washington,41,2000-04-26,27.625,0.018167,6.9354165,1.5166665
District Of Columbia,District of Columbia,Washington,41,2000-04-27,21.333333,0.016083,6.6916665,1.175
District Of Columbia,District of Columbia,Washington,41,2000-04-28,27.125,0.016958,4.6916665,1.1875
District Of Columbia,District of Columbia,Washington,41,2000-04-29,29.875,0.022958,5.0729165,1.4729165000000002
District Of Columbia,District of Columbia,Washington,41,2000-04-30,20.416667,0.027167,5.98125,1.4333334999999998
District Of Columbia,District of Columbia,Washington,41,2000-05-01,27.375,0.034875,8.10625,1.8458335
District Of Columbia,District of Columbia,Washington,41,2000-05-02,27.208333,0.023958,6.9875,1.1083335
District Of Columbia,District of Columbia,Washington,41,2000-05-03,24.782609,0.03525,5.0074535000000004,1.2003620000000002
District Of Columbia,District of Columbia,Washington,41,2000-05-04,18.875,0.04325,5.2770835,0.7416665
District Of Columbia,District of Columbia,Washington,41,2000-05-05,27.958333,0.025833,8.3958335,0.7854165
District Of Columbia,District of Columbia,Washington,41,2000-05-06,28.0,0.029583,6.6916665,1.0645835
District Of Columbia,District of Columbia,Washington,41,2000-05-07,24.833333,0.042833,9.2708335,0.9041665
District Of Columbia,District of Columbia,Washington,41,2000-05-08,24.875,0.047625,11.4479165,0.6208335
District Of Columbia,District of Columbia,Washington,41,2000-05-09,20.695652,0.04725,14.2708335,0.7395835
District Of Columbia,District of Columbia,Washington,41,2000-05-10,18.666667,0.037792,7.3090910000000004,0.9293560000000001
District Of Columbia,District of Columbia,Washington,41,2000-05-11,23.791667,0.034333,7.2375,0.9291665
District Of Columbia,District of Columbia,Washington,41,2000-05-12,25.75,0.033833,11.73125,1.0625
District Of Columbia,District of Columbia,Washington,41,2000-05-13,21.875,0.035042,5.10625,1.25
District Of Columbia,District of Columbia,Washington,41,2000-05-14,14.958333,0.037542,7.9020835,0.902083
District Of Columbia,District of Columbia,Washington,41,2000-05-15,22.545455,0.026875,7.3104165,1.0750000000000002
District Of Columbia,District of Columbia,Washington,41,2000-05-16,22.333333,0.036375,6.5604165,1.44375
District Of Columbia,District of Columbia,Washington,41,2000-05-17,20.958333,0.04,6.2386365,0.981629
District Of Columbia,District of Columbia,Washington,41,2000-05-18,13.041667,0.045708,5.4875,0.85625
District Of Columbia,District of Columbia,Washington,41,2000-05-19,24.904762,0.016235,5.999242499999999,0.7972060000000001
District Of Columbia,District of Columbia,Washington,41,2000-05-20,14.708333,0.012833,3.36875,0.40625
District Of Columbia,District of Columbia,Washington,41,2000-05-21,12.916667,0.014292,3.0791665000000004,0.3833335
District Of Columbia,District of Columbia,Washington,41,2000-05-22,19.363636,0.016542,3.0,0.4552535
District Of Columbia,District of Columbia,Washington,41,2000-05-23,14.478261,0.025208,4.9242425,0.3660325
District Of Columbia,District of Columbia,Washington,41,2000-05-24,23.208333,0.023042,4.6458335,0.5208335
District Of Columbia,District of Columbia,Washington,41,2000-05-25,31.833333,0.018917,6.0666665,0.7124999999999999
District Of Columbia,District of Columbia,Washington,41,2000-05-26,31.333333,0.025292,7.1520835,0.833333
District Of Columbia,District of Columbia,Washington,41,2000-05-27,31.583333,0.007792,4.73125,1.1604165
District Of Columbia,District of Columbia,Washington,41,2000-05-28,18.958333,0.016542,3.99375,0.6479170000000001
District Of Columbia,District of Columbia,Washington,41,2000-05-29,15.958333,0.014542,3.2833335,0.5541665
District Of Columbia,District of Columbia,Washington,41,2000-05-30,22.583333,0.010208,4.4479165,0.722917
District Of Columbia,District of Columbia,Washington,41,2000-05-31,25.083333,0.005667,4.089441,0.8341485
District Of Columbia,District of Columbia,Washington,41,2000-06-01,30.409091,0.027412,6.0642855,1.0333335
District Of Columbia,District of Columbia,Washington,41,2000-06-02,25.541667,0.037875,5.9083335,1.0625
District Of Columbia,District of Columbia,Washington,41,2000-06-03,19.333333,0.024292,4.98125,0.7708335
District Of Columbia,District of Columbia,Washington,41,2000-06-04,18.25,0.027875,5.3229165,1.0583335
District Of Columbia,District of Columbia,Washington,41,2000-06-05,20.347826,0.019667,3.4083335,0.7270829999999999
District Of Columbia,District of Columbia,Washington,41,2000-06-06,15.875,0.014917,3.5333335,0.779167
District Of Columbia,District of Columbia,Washington,41,2000-06-07,20.583333,0.024375,5.475,0.8520835
District Of Columbia,District of Columbia,Washington,41,2000-06-08,24.458333,0.035542,8.526397500000002,0.9263585000000001
District Of Columbia,District of Columbia,Washington,41,2000-06-09,23.208333,0.055458,13.408333500000001,0.8520829999999999
District Of Columbia,District of Columbia,Washington,41,2000-06-10,21.333333,0.062667,12.0208335,0.9729165
District Of Columbia,District of Columbia,Washington,41,2000-06-11,15.791667,0.05275,11.7375,0.8875
District Of Columbia,District of Columbia,Washington,41,2000-06-12,26.708333,0.035708,6.933117,1.0611745
District Of Columbia,District of Columbia,Washington,41,2000-06-13,18.166667,0.015417,3.49375,0.90625
District Of Columbia,District of Columbia,Washington,41,2000-06-14,16.913043,0.01225,3.11875,0.866667
District Of Columbia,District of Columbia,Washington,41,2000-06-15,15.583333,0.02475,4.5729165,0.8583335000000001
