State,County,City,Site Num,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Massachusetts,Suffolk,Boston,42,2001-04-01,17.416667,0.028958,9.8835405,0.0751195
Massachusetts,Suffolk,Boston,42,2001-04-02,24.863636,0.02225,9.0270835,0.20661200000000002
Massachusetts,Suffolk,Boston,42,2001-04-03,28.958333,0.019167,7.8625,0.168116
Massachusetts,Suffolk,Boston,42,2001-04-04,33.4,0.01675,13.493182000000001,0.2473485
Massachusetts,Suffolk,Boston,42,2001-04-05,36.291667,0.0175,10.3958335,0.2641305
Massachusetts,Suffolk,Boston,42,2001-04-06,45.181818,0.018167,16.35625,0.622826
Massachusetts,Suffolk,Boston,42,2001-04-07,16.791667,0.032125,5.7984475,0.054166500000000006
Massachusetts,Suffolk,Boston,42,2001-04-08,21.363636,0.022167,5.7833335,0.0936595
Massachusetts,Suffolk,Boston,42,2001-04-09,27.583333,0.018875,7.23125,0.16358699999999998
Massachusetts,Suffolk,Boston,42,2001-04-10,22.590909,0.017792,8.495963,0.093561
Massachusetts,Suffolk,Boston,42,2001-04-11,25.875,0.021667,6.1916665,0.16205350000000002
Massachusetts,Suffolk,Boston,42,2001-04-12,29.958333,0.011375,2.74375,0.221667
Massachusetts,Suffolk,Boston,42,2001-04-13,25.125,0.017917,4.1916665,0.256629
Massachusetts,Suffolk,Boston,42,2001-04-14,14.5,0.039,1.74375,0.027536
Massachusetts,Suffolk,Boston,42,2001-04-15,20.208333,0.03,2.9354165,0.07500000000000001
Massachusetts,Suffolk,Boston,42,2001-04-16,22.916667,0.018,4.4875,0.140909
Massachusetts,Suffolk,Boston,42,2001-04-17,28.5,0.021625,4.73125,0.19963799999999998
Massachusetts,Suffolk,Boston,42,2001-04-18,21.375,0.028167,3.0729165,0.017029000000000002
Massachusetts,Suffolk,Boston,42,2001-04-19,32.136364,0.017083,5.2194804999999995,0.164869
Massachusetts,Suffolk,Boston,42,2001-04-20,34.0,0.026625,8.1285715,0.39990950000000003
Massachusetts,Suffolk,Boston,42,2001-04-21,22.666667,0.040042,5.9416665,0.3490945
Massachusetts,Suffolk,Boston,42,2001-04-22,13.863636,0.038083,3.6125,0.2145835
Massachusetts,Suffolk,Boston,42,2001-04-23,20.75,0.027375,4.352174,0.302174
Massachusetts,Suffolk,Boston,42,2001-04-24,20.55,0.033125,4.0074535000000004,0.27635849999999995
Massachusetts,Suffolk,Boston,42,2001-04-25,25.0,0.022083,4.4416665,0.220644
Massachusetts,Suffolk,Boston,42,2001-04-26,26.136364,0.026333,5.2298135,0.222645
Massachusetts,Suffolk,Boston,42,2001-04-27,29.958333,0.016417,6.48125,0.37355099999999997
Massachusetts,Suffolk,Boston,42,2001-04-28,17.818182,0.033833,3.6854165,0.220644
Massachusetts,Suffolk,Boston,42,2001-04-29,18.5,0.027875,3.6475155,0.0854165
Massachusetts,Suffolk,Boston,42,2001-04-30,38.5,0.018167,5.1520835,0.38595999999999997
Massachusetts,Suffolk,Boston,42,2001-05-01,43.25,0.022958,7.6916665,0.591288
Massachusetts,Suffolk,Boston,42,2001-05-02,45.272727,0.02675,5.827019,0.38106850000000003
Massachusetts,Suffolk,Boston,42,2001-05-03,40.833333,0.0425,4.6520835,0.37681699999999996
Massachusetts,Suffolk,Boston,42,2001-05-04,36.0,0.0435,4.9541664999999995,0.336932
Massachusetts,Suffolk,Boston,42,2001-05-05,13.958333,0.029333,3.3313664999999997,0.10561599999999999
Massachusetts,Suffolk,Boston,42,2001-05-06,12.818182,0.025708,3.9416665,0.015036
Massachusetts,Suffolk,Boston,42,2001-05-07,26.958333,0.022292,5.1916665,0.20397749999999998
Massachusetts,Suffolk,Boston,42,2001-05-08,21.2,0.026792,3.537121,0.0872285
Massachusetts,Suffolk,Boston,42,2001-05-09,22.583333,0.022333,4.9416665,0.172464
Massachusetts,Suffolk,Boston,42,2001-05-10,35.857143,0.022417,6.0270835,0.2922345
Massachusetts,Suffolk,Boston,42,2001-05-11,33.916667,0.043625,4.726708,0.24846000000000001
Massachusetts,Suffolk,Boston,42,2001-05-12,26.0,0.040208,5.1854165,0.214674
Massachusetts,Suffolk,Boston,42,2001-05-13,11.0,0.024458,3.1125,0.00625
Massachusetts,Suffolk,Boston,42,2001-05-14,18.545455,0.028458,3.532298,0.0086955
Massachusetts,Suffolk,Boston,42,2001-05-15,17.875,0.022,4.3166665,0.025453
Massachusetts,Suffolk,Boston,42,2001-05-16,21.590909,0.021708,4.23125,0.006818
Massachusetts,Suffolk,Boston,42,2001-05-17,24.333333,0.016125,5.18,0.129801
Massachusetts,Suffolk,Boston,42,2001-05-18,22.727273,0.020917,5.6337720000000004,0.198762
Massachusetts,Suffolk,Boston,42,2001-05-19,14.625,0.030417,4.4479165,0.2323865
Massachusetts,Suffolk,Boston,42,2001-05-20,11.5,0.031083,4.913664499999999,0.13840550000000001
Massachusetts,Suffolk,Boston,42,2001-05-21,16.791667,0.023708,5.6520835,0.2210145
Massachusetts,Suffolk,Boston,42,2001-05-22,22.95,0.015125,5.029192999999999,0.219697
Massachusetts,Suffolk,Boston,42,2001-05-23,23.125,0.017792,4.762733,0.21050750000000001
