State,County,City,Site Num,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
New Jersey,Camden,Camden,3,2000-01-01,24.25,0.003208,15.5666665,1.0729165
New Jersey,Camden,Camden,3,2000-01-02,22.041667,0.021292,8.5666665,1.4333335
New Jersey,Camden,Camden,3,2000-01-03,23.73913,0.012333,11.2254655,0.9111415
New Jersey,Camden,Camden,3,2000-01-04,14.0,0.0195,2.3166665,0.49848449999999994
New Jersey,Camden,Camden,3,2000-01-05,10.0,0.016292,3.1520835,0.439583
New Jersey,Camden,Camden,3,2000-01-07,19.454545,0.008375,11.35,1.03125
New Jersey,Camden,Camden,3,2000-01-08,24.333333,0.007542,10.60625,0.6708335000000001
New Jersey,Camden,Camden,3,2000-01-09,22.958333,0.008417,10.3958335,0.5708335
New Jersey,Camden,Camden,3,2000-01-10,20.25,0.009292,6.7708335,0.5583335
New Jersey,Camden,Camden,3,2000-01-11,20.375,0.015,9.3166665,0.4979165
New Jersey,Camden,Camden,3,2000-01-12,22.913043,0.008208,8.0136645,0.6833335
New Jersey,Camden,Camden,3,2000-01-13,23.25,0.011333,5.48125,0.7791665000000001
New Jersey,Camden,Camden,3,2000-01-14,15.958333,0.018875,2.9020835,0.5249999999999999
New Jersey,Camden,Camden,3,2000-01-15,20.166667,0.0165,6.9020835,0.5666665
New Jersey,Camden,Camden,3,2000-01-16,13.375,0.020625,6.9479165,0.5416665
New Jersey,Camden,Camden,3,2000-01-17,10.416667,0.025292,1.5729165,0.547917
New Jersey,Camden,Camden,3,2000-01-18,29.125,0.006542,6.1125,0.7708335
New Jersey,Camden,Camden,3,2000-01-19,30.708333,0.005292,16.520833500000002,1.0125000000000002
New Jersey,Camden,Camden,3,2000-01-20,29.416667,0.005917,9.1520835,0.985417
New Jersey,Camden,Camden,3,2000-01-21,14.916667,0.019708,6.10625,0.6416664999999999
New Jersey,Camden,Camden,3,2000-01-22,24.416667,0.013125,11.5666665,0.725
New Jersey,Camden,Camden,3,2000-01-23,25.25,0.009125,9.533333500000001,0.73125
New Jersey,Camden,Camden,3,2000-01-24,38.625,0.003167,17.323913,1.0153985
New Jersey,Camden,Camden,3,2000-01-25,19.708333,0.016167,7.0666665,0.54375
New Jersey,Camden,Camden,3,2000-01-26,18.25,0.016875,6.725,0.48333349999999997
New Jersey,Camden,Camden,3,2000-01-27,16.625,0.02075,4.5666665,0.4354165
New Jersey,Camden,Camden,3,2000-01-28,24.583333,0.0185,7.6520835,0.4875
New Jersey,Camden,Camden,3,2000-01-29,38.166667,0.01225,8.0270835,1.08125
New Jersey,Camden,Camden,3,2000-01-30,67.833333,0.003583,18.9416665,2.327083
New Jersey,Camden,Camden,3,2000-01-31,30.478261,0.006208,20.4416665,0.6229169999999999
New Jersey,Camden,Camden,3,2000-02-01,31.541667,0.012042,19.6520835,0.575
