State,County,City,Site Num,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Pennsylvania,Allegheny,Pittsburgh,10,2000-03-31,32.875,0.0,12.0270835,0.0
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-06,13.956522,0.032625,8.85625,0.220833
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-07,32.958333,0.001792,20.60625,0.629167
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-08,19.125,0.019708,11.6520835,0.31666700000000003
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-09,11.625,0.026375,6.6458335,0.1
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-10,20.916667,0.022583,6.7708335,0.325
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-11,32.25,0.007167,14.8166665,0.297917
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-12,22.173913,0.018792,6.35,0.1291665
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-13,30.916667,0.018583,7.2770835,0.377083
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-14,25.833333,0.024708,10.7770835,0.3702655
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-15,27.75,0.016042,8.4020835,0.6104165
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-16,19.75,0.037458,7.2770835,0.68125
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-17,21.125,0.017083,3.6791665,0.41875
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-18,16.958333,0.016542,5.9416665,0.366667
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-19,25.166667,0.007125,13.0729165,0.56875
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-20,30.541667,0.022417,11.6979165,0.6854165
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-21,11.833333,0.02025,4.98125,0.36041650000000003
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-22,11.791667,0.014375,3.6520835,0.34375
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-23,11.75,0.024625,2.7375,0.19166699999999998
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-24,24.25,0.032167,6.5666665,0.5395829999999999
Pennsylvania,Allegheny,Pittsburgh,10,2000-04-25,16.041667,0.040417,6.6125,0.1791665
